product_id,category,price,brand,stock,created_at
87,Beauty,33.29,ZetaBeauty,730,2022-05-07
88,Electronics,206.25,BetaWear,515,2022-09-05
89,Books,293.87,GammaBooks,199,2022-06-02
90,Beauty,236.99,BetaWear,380,2022-07-28
91,Books,385.89,BetaWear,471,2022-03-01
92,Books,50.94,BetaWear,944,2022-08-26
93,Electronics,403.59,GammaBooks,321,2022-01-04
94,Toys,63.7,BetaWear,166,2022-03-17
95,Books,251.49,BetaWear,224,2022-04-15
96,Books,145.22,BetaWear,555,2022-10-24
97,Sports,54.59,GammaBooks,362,2022-02-27
98,Electronics,320.59,ZetaBeauty,230,2022-12-01
99,Beauty,253.09,ZetaBeauty,589,2022-06-18
100,Books,460.56,EpsilonSport,200,2022-07-06
101,Clothing,392.02,ZetaBeauty,261,2022-02-26
102,Books,155.55,BetaWear,883,2022-10-30
103,Food,66.5,AlphaTech,52,2022-04-30
104,Beauty,184.28,DeltaHome,488,2022-06-10
105,Clothing,168.78,EpsilonSport,949,2022-10-12
106,Toys,95.35,EpsilonSport,394,2022-08-13
107,Electronics,425.51,GammaBooks,952,2022-06-29
108,Food,397.48,DeltaHome,284,2022-05-30
109,Clothing,263.27,ZetaBeauty,126,2022-12-03
110,Sports,248.24,GammaBooks,118,2022-07-02
111,Toys,499.15,GammaBooks,123,2022-02-27
112,Beauty,73.32,GammaBooks,281,2022-10-11
113,Home,44.57,BetaWear,851,2022-06-19
114,Beauty,115.16,DeltaHome,839,2022-09-15
115,Beauty,73.34,EpsilonSport,345,2022-03-01
116,Sports,428.96,ZetaBeauty,413,2022-12-06
117,Electronics,490.28,GammaBooks,654,2022-10-18
118,Beauty,63.69,EpsilonSport,312,2022-01-11
119,Toys,193.98,BetaWear,739,2022-09-23
120,Beauty,11.01,ZetaBeauty,767,2022-08-28
121,Beauty,248.08,GammaBooks,178,2022-08-07
122,Books,374.76,DeltaHome,856,2022-06-11
123,Books,258.99,BetaWear,361,2022-12-31
124,Books,403.76,GammaBooks,668,2022-03-15
125,Beauty,390.72,DeltaHome,893,2022-12-03
126,Electronics,83.75,DeltaHome,567,2022-06-24
127,Food,191.92,BetaWear,970,2022-12-02
128,Home,366.84,EpsilonSport,958,2022-11-16
129,Toys,184.93,AlphaTech,76,2022-06-22
130,Clothing,398.98,ZetaBeauty,204,2022-02-23
131,Food,240.14,BetaWear,278,2022-05-12
132,Beauty,299.64,EpsilonSport,953,2022-01-28
133,Home,343.7,DeltaHome,679,2022-09-28
134,Electronics,164.51,GammaBooks,341,2022-08-03
135,Home,203.87,GammaBooks,138,2022-01-15
136,Clothing,285.14,DeltaHome,817,2022-12-24
137,Toys,202.9,EpsilonSport,275,2022-12-12
138,Books,451.41,DeltaHome,830,2022-05-27
139,Electronics,341.79,GammaBooks,316,2022-10-20
140,Beauty,408.01,EpsilonSport,781,2022-04-04
141,Beauty,387.36,ZetaBeauty,929,2022-06-03
142,Toys,420.5,AlphaTech,503,2022-08-21
143,Sports,495.79,EpsilonSport,98,2022-06-18
144,Electronics,181.53,GammaBooks,491,2022-10-29
145,Books,242.95,AlphaTech,168,2022-08-28
146,Clothing,298.2,DeltaHome,554,2022-07-07
147,Books,299.3,BetaWear,701,2022-06-01
148,Food,205.59,ZetaBeauty,425,2022-03-17
149,Sports,35.58,BetaWear,900,2022-04-21
150,Beauty,356.0,ZetaBeauty,280,2022-07-22
151,Sports,139.47,DeltaHome,223,2022-12-24
152,Clothing,408.78,AlphaTech,946,2022-07-28
153,Clothing,478.5,BetaWear,813,2022-08-05
154,Food,360.88,EpsilonSport,892,2022-06-15
155,Sports,358.49,DeltaHome,629,2022-04-10
156,Toys,381.81,EpsilonSport,21,2022-11-22
157,Clothing,138.38,EpsilonSport,885,2022-01-12
158,Books,18.24,ZetaBeauty,98,2022-11-12
159,Sports,32.05,AlphaTech,303,2022-05-19
160,Home,302.23,GammaBooks,604,2022-02-27
161,Clothing,307.23,BetaWear,396,2022-11-30
162,Clothing,411.67,ZetaBeauty,771,2022-04-11
163,Beauty,188.46,DeltaHome,498,2022-11-25
164,Books,427.09,BetaWear,864,2022-05-10
165,Electronics,111.44,ZetaBeauty,747,2022-03-23
166,Sports,255.68,BetaWear,220,2022-02-12
167,Clothing,47.7,AlphaTech,483,2022-05-01
168,Books,288.87,EpsilonSport,844,2022-04-29
169,Beauty,88.98,AlphaTech,722,2022-08-14
170,Sports,434.88,EpsilonSport,0,2022-06-15
171,Toys,358.75,EpsilonSport,458,2022-05-22
172,Home,134.84,BetaWear,529,2022-11-29
173,Electronics,423.75,AlphaTech,231,2022-06-27
174,Books,469.12,DeltaHome,61,2022-11-16
175,Home,70.95,GammaBooks,271,2022-02-09
176,Electronics,252.23,AlphaTech,320,2022-08-27
177,Toys,310.6,BetaWear,461,2022-09-21
178,Toys,292.93,ZetaBeauty,779,2022-04-18
179,Sports,172.61,AlphaTech,60,2022-12-01
180,Beauty,329.01,DeltaHome,925,2022-04-03
181,Sports,35.27,GammaBooks,388,2022-11-28
182,Food,438.65,ZetaBeauty,88,2022-04-26
183,Food,379.12,GammaBooks,880,2022-12-02
184,Food,134.07,AlphaTech,517,2022-12-15
185,Books,95.73,AlphaTech,229,2022-01-14
186,Toys,148.24,EpsilonSport,123,2022-05-04
187,Books,232.63,GammaBooks,492,2022-08-17
188,Home,259.43,EpsilonSport,160,2022-09-20
189,Electronics,336.58,DeltaHome,257,2022-09-02
190,Sports,335.42,ZetaBeauty,392,2022-11-30
191,Electronics,396.11,GammaBooks,915,2022-10-23
192,Books,113.15,EpsilonSport,958,2022-03-19
193,Clothing,438.66,EpsilonSport,344,2022-05-28
194,Home,193.05,DeltaHome,531,2022-07-17
195,Electronics,45.76,DeltaHome,541,2022-08-07
196,Sports,269.33,ZetaBeauty,496,2022-03-26
197,Books,146.7,ZetaBeauty,611,2022-10-30
198,Books,218.84,ZetaBeauty,0,2022-01-19
199,Sports,457.09,BetaWear,885,2022-04-18
200,Sports,161.11,BetaWear,978,2022-10-20
